user_id,model_id,product_id,weight,timestamp,gender,residence_type,age_group,category_id,사이즈,색상,소재
0,21,0,1,0.9699710000311526,1,0,2,16,2,4,1
0,1,1,1,0.9704699242258576,1,0,2,15,0,0,0
0,4,2,1,0.9705946552745339,1,0,2,17,3,3,0
0,3,2,1,0.970625838036703,1,0,2,17,3,4,0
0,6,3,1,0.9707817518475483,1,0,2,13,2,1,1
11,2,1,1,0.9713118588044226,1,2,2,15,2,3,0
11,4,2,1,0.9714365898530989,1,2,2,17,3,3,0
11,3,2,1,0.971467772615268,1,2,2,17,3,4,0
11,5,3,1,0.9716236864261133,1,2,2,13,2,2,1
11,9,4,1,0.9716860519504514,1,2,2,11,0,4,1
11,13,5,1,0.9718107829991277,1,2,2,12,2,4,0
11,11,5,1,0.9718107829991277,1,2,2,12,2,2,0
11,15,6,1,0.9720290623343113,1,2,2,9,4,1,0
11,15,6,3,0.9720602450964804,1,2,2,9,4,1,0
13,3,2,1,0.9982849480806698,1,2,2,17,3,4,0
13,7,3,1,0.998378496367177,1,2,2,13,2,4,1
13,7,3,2,0.9984408618915152,1,2,2,13,2,4,1
13,7,3,2,0.9984408618915152,1,2,2,13,2,4,1
13,10,4,1,0.9986279584645297,1,2,2,11,0,4,0
13,10,4,3,0.9986591412266987,1,2,2,11,0,4,0
13,12,5,1,0.998783872275375,1,2,2,12,2,5,0
13,14,6,1,0.9989397860862204,1,2,2,9,4,5,0
13,17,7,1,0.9990645171348966,1,2,2,7,1,2,2
14,8,4,1,0.9993763447565873,1,1,2,11,0,2,1
14,11,5,1,0.9994698930430945,1,1,2,12,2,2,0
14,15,6,1,0.9995634413296018,1,1,2,9,4,1,0
14,15,6,2,0.9995946240917709,1,1,2,9,4,1,0
14,15,6,2,0.9995946240917709,1,1,2,9,4,1,0
14,17,7,1,0.9997193551404472,1,1,2,7,1,2,2
14,17,7,3,0.9997505379026163,1,1,2,7,1,2,2
14,19,8,1,0.9999064517134616,1,1,2,8,4,2,0
14,20,9,1,0.9999999999999688,1,1,2,28,0,1,0
15,0,1,3,3.118276216907196e-05,0,1,2,15,2,0,0
15,12,3,3,9.35482865072159e-05,0,1,2,13,2,5,0
15,8,2,1,0.00012473104867628785,0,1,2,17,0,2,1
15,16,4,3,0.0001559138108453598,0,1,2,11,4,3,0
16,8,2,1,0.0,0,1,2,17,0,2,1
16,18,4,2,3.118276216907196e-05,0,1,2,11,1,1,2
16,16,4,1,0.0001559138108453598,0,1,2,11,4,3,0
17,21,0,2,0.0,0,2,2,16,2,4,1
17,7,2,3,6.236552433814392e-05,0,2,2,17,2,4,1
17,16,4,3,0.00012473104867628785,0,2,2,11,4,3,0
17,18,4,1,0.0001559138108453598,0,2,2,11,1,1,2
18,21,0,3,0.0,0,0,2,16,2,4,1
18,12,3,3,3.118276216907196e-05,0,0,2,13,2,5,0
18,0,1,2,9.35482865072159e-05,0,0,2,15,2,0,0
18,16,4,3,0.00012473104867628785,0,0,2,11,4,3,0
18,11,3,2,0.0001559138108453598,0,0,2,13,2,2,0
19,11,3,1,3.118276216907196e-05,1,2,2,13,2,2,0
19,18,4,1,6.236552433814392e-05,1,2,2,11,1,1,2
19,21,0,2,0.00012473104867628785,1,2,2,16,2,4,1
19,12,3,2,0.0001559138108453598,1,2,2,13,2,5,0
1,16,4,1,0.0,0,2,2,11,4,3,0
1,18,4,3,6.236552433814392e-05,0,2,2,11,1,1,2
1,8,2,1,9.35482865072159e-05,0,2,2,17,0,2,1
1,12,3,2,0.00012473104867628785,0,2,2,13,2,5,0
1,0,1,1,0.0001559138108453598,0,2,2,15,2,0,0
2,8,2,2,3.118276216907196e-05,0,0,3,17,0,2,1
2,12,3,2,0.00012473104867628785,0,0,3,13,2,5,0
3,12,3,3,0.0,1,2,3,13,2,5,0
3,21,0,1,9.35482865072159e-05,1,2,3,16,2,4,1
3,18,4,1,0.0001559138108453598,1,2,3,11,1,1,2
4,11,3,1,0.0,0,2,4,13,2,2,0
4,0,1,1,3.118276216907196e-05,0,2,4,15,2,0,0
4,8,2,3,6.236552433814392e-05,0,2,4,17,0,2,1
5,12,3,3,0.0,1,2,4,13,2,5,0
5,16,4,2,3.118276216907196e-05,1,2,4,11,4,3,0
5,7,2,2,6.236552433814392e-05,1,2,4,17,2,4,1
5,0,1,3,9.35482865072159e-05,1,2,4,15,2,0,0
5,11,3,1,0.0001559138108453598,1,2,4,13,2,2,0
6,7,2,1,0.0,1,2,5,17,2,4,1
6,8,2,1,6.236552433814392e-05,1,2,5,17,0,2,1
6,18,4,2,0.0001559138108453598,1,2,5,11,1,1,2
7,8,2,1,0.0,0,2,5,17,0,2,1
7,11,3,3,3.118276216907196e-05,0,2,5,13,2,2,0
7,18,4,1,6.236552433814392e-05,0,2,5,11,1,1,2
7,21,0,3,9.35482865072159e-05,0,2,5,16,2,4,1
7,16,4,2,0.0001559138108453598,0,2,5,11,4,3,0
8,21,0,3,0.0,0,1,3,16,2,4,1
8,16,4,2,6.236552433814392e-05,0,1,3,11,4,3,0
8,18,4,1,0.0001559138108453598,0,1,3,11,1,1,2
9,12,3,2,0.0,1,0,5,13,2,5,0
9,7,2,2,3.118276216907196e-05,1,0,5,17,2,4,1
9,21,0,1,0.00012473104867628785,1,0,5,16,2,4,1
9,11,3,2,0.0001559138108453598,1,0,5,13,2,2,0
10,18,4,3,0.0,1,1,3,11,1,1,2
10,8,2,3,3.118276216907196e-05,1,1,3,17,0,2,1
10,0,1,2,6.236552433814392e-05,1,1,3,15,2,0,0
10,11,3,3,0.00012473104867628785,1,1,3,13,2,2,0
12,7,2,3,0.0,0,0,5,17,2,4,1
12,0,1,1,3.118276216907196e-05,0,0,5,15,2,0,0
12,21,0,1,0.00012473104867628785,0,0,5,16,2,4,1
12,8,2,1,0.0001559138108453598,0,0,5,17,0,2,1
